filename,fold,class_id,class_name
105289-8-0-4.wav,7,8,siren
158608-8-0-4.wav,4,8,siren
54545-3-0-1.wav,2,3,dog_bark
159738-8-0-4.wav,1,8,siren
72724-3-2-7.wav,4,3,dog_bark
144028-3-0-0.wav,8,3,dog_bark
107357-8-1-18.wav,7,8,siren
147317-6-0-0.wav,7,6,gun_shot
135544-6-12-0.wav,6,6,gun_shot
148835-6-3-0.wav,6,6,gun_shot
107090-1-0-0.wav,8,1,car_horn
187378-3-0-7.wav,9,3,dog_bark
25039-6-0-0.wav,8,6,gun_shot
207124-3-0-0.wav,3,3,dog_bark
34708-6-4-0.wav,3,6,gun_shot
123688-8-0-1.wav,2,8,siren
121299-1-0-0.wav,5,1,car_horn
17486-3-2-0.wav,10,3,dog_bark
74364-8-1-19.wav,10,8,siren
76566-3-0-3.wav,5,3,dog_bark
55013-3-0-1.wav,8,3,dog_bark
42101-1-1-0.wav,9,1,car_horn
74726-8-1-1.wav,6,8,siren
159754-8-0-0.wav,5,8,siren
125554-3-0-0.wav,6,3,dog_bark
157867-8-0-3.wav,1,8,siren
178497-3-0-6.wav,5,3,dog_bark
102871-8-0-10.wav,2,8,siren
65750-3-3-74.wav,3,3,dog_bark
30832-3-7-0.wav,4,3,dog_bark
7389-1-0-5.wav,4,1,car_horn
24347-8-0-6.wav,4,8,siren
118072-3-0-0.wav,6,3,dog_bark
22601-8-0-13.wav,3,8,siren
107357-8-0-2.wav,7,8,siren
159751-8-0-18.wav,4,8,siren
159747-8-0-13.wav,2,8,siren
110918-3-0-40.wav,7,3,dog_bark
72259-1-9-6.wav,5,1,car_horn
138015-3-0-1.wav,1,3,dog_bark
161195-6-0-0.wav,3,6,gun_shot
102871-8-0-15.wav,2,8,siren
100648-1-4-0.wav,10,1,car_horn
72259-1-10-3.wav,5,1,car_horn
28808-1-0-0.wav,10,1,car_horn
185436-1-2-0.wav,5,1,car_horn
52633-3-0-2.wav,8,3,dog_bark
160575-3-7-0.wav,6,3,dog_bark
203440-3-0-1.wav,1,3,dog_bark
26256-3-4-0.wav,4,3,dog_bark
85665-3-0-0.wav,10,3,dog_bark
93139-6-0-0.wav,5,6,gun_shot
151065-6-0-0.wav,7,6,gun_shot
157800-6-0-0.wav,10,6,gun_shot
159747-8-0-2.wav,2,8,siren
164625-1-0-0.wav,9,1,car_horn
148632-8-0-10.wav,8,8,siren
184575-3-0-3.wav,9,3,dog_bark
72259-1-10-1.wav,5,1,car_horn
126521-3-0-17.wav,5,3,dog_bark
93567-8-0-8.wav,10,8,siren
20285-3-1-1.wav,5,3,dog_bark
159747-8-0-5.wav,2,8,siren
124389-8-1-1.wav,6,8,siren
159751-8-0-20.wav,4,8,siren
