file,fold,class_id,class,augment
105289-8-0-4.wav,7,8,siren,none
158608-8-0-4.wav,4,8,siren,none
54545-3-0-1.wav,2,3,dog_bark,none
159738-8-0-4.wav,1,8,siren,none
72724-3-2-7.wav,4,3,dog_bark,none
144028-3-0-0.wav,8,3,dog_bark,none
107357-8-1-18.wav,7,8,siren,none
147317-6-0-0.wav,7,6,gun_shot,none
135544-6-12-0.wav,6,6,gun_shot,none
148835-6-3-0.wav,6,6,gun_shot,none
107090-1-0-0.wav,8,1,car_horn,none
187378-3-0-7.wav,9,3,dog_bark,none
25039-6-0-0.wav,8,6,gun_shot,none
207124-3-0-0.wav,3,3,dog_bark,none
34708-6-4-0.wav,3,6,gun_shot,none
123688-8-0-1.wav,2,8,siren,none
121299-1-0-0.wav,5,1,car_horn,none
17486-3-2-0.wav,10,3,dog_bark,none
74364-8-1-19.wav,10,8,siren,none
76566-3-0-3.wav,5,3,dog_bark,none
55013-3-0-1.wav,8,3,dog_bark,none
42101-1-1-0.wav,9,1,car_horn,none
74726-8-1-1.wav,6,8,siren,none
159754-8-0-0.wav,5,8,siren,none
125554-3-0-0.wav,6,3,dog_bark,none
157867-8-0-3.wav,1,8,siren,none
178497-3-0-6.wav,5,3,dog_bark,none
102871-8-0-10.wav,2,8,siren,none
65750-3-3-74.wav,3,3,dog_bark,none
30832-3-7-0.wav,4,3,dog_bark,none
7389-1-0-5.wav,4,1,car_horn,none
24347-8-0-6.wav,4,8,siren,none
118072-3-0-0.wav,6,3,dog_bark,none
22601-8-0-13.wav,3,8,siren,none
107357-8-0-2.wav,7,8,siren,none
159751-8-0-18.wav,4,8,siren,none
159747-8-0-13.wav,2,8,siren,none
110918-3-0-40.wav,7,3,dog_bark,none
72259-1-9-6.wav,5,1,car_horn,none
138015-3-0-1.wav,1,3,dog_bark,none
161195-6-0-0.wav,3,6,gun_shot,none
102871-8-0-15.wav,2,8,siren,none
100648-1-4-0.wav,10,1,car_horn,none
72259-1-10-3.wav,5,1,car_horn,none
28808-1-0-0.wav,10,1,car_horn,none
185436-1-2-0.wav,5,1,car_horn,none
52633-3-0-2.wav,8,3,dog_bark,none
160575-3-7-0.wav,6,3,dog_bark,none
203440-3-0-1.wav,1,3,dog_bark,none
26256-3-4-0.wav,4,3,dog_bark,none
85665-3-0-0.wav,10,3,dog_bark,none
93139-6-0-0.wav,5,6,gun_shot,none
151065-6-0-0.wav,7,6,gun_shot,none
157800-6-0-0.wav,10,6,gun_shot,none
159747-8-0-2.wav,2,8,siren,none
164625-1-0-0.wav,9,1,car_horn,none
148632-8-0-10.wav,8,8,siren,none
184575-3-0-3.wav,9,3,dog_bark,none
72259-1-10-1.wav,5,1,car_horn,none
126521-3-0-17.wav,5,3,dog_bark,none
93567-8-0-8.wav,10,8,siren,none
20285-3-1-1.wav,5,3,dog_bark,none
159747-8-0-5.wav,2,8,siren,none
124389-8-1-1.wav,6,8,siren,none
159751-8-0-20.wav,4,8,siren,none
18933-1-0-0.wav,6,1,car_horn,none
7064-6-0-0.wav,4,6,gun_shot,none
52740-3-0-0.wav,9,3,dog_bark,none
72220-3-2-4.wav,10,3,dog_bark,none
43784-3-1-0.wav,7,3,dog_bark,none
116485-3-0-4.wav,7,3,dog_bark,none
22601-8-0-8.wav,3,8,siren,none
72538-3-0-4.wav,10,3,dog_bark,none
159753-8-0-0.wav,4,8,siren,none
135528-6-3-0.wav,4,6,gun_shot,none
99812-1-0-0.wav,7,1,car_horn,none
96657-8-0-3.wav,8,8,siren,none
194753-3-2-0.wav,6,3,dog_bark,none
162433-6-1-0.wav,8,6,gun_shot,none
20571-3-0-0.wav,10,3,dog_bark,none
14358-3-0-90.wav,6,3,dog_bark,none
38231-3-4-0.wav,4,3,dog_bark,none
115411-3-2-0.wav,7,3,dog_bark,none
156897-6-0-0.wav,4,6,gun_shot,none
54545-3-0-0.wav,2,3,dog_bark,none
35799-6-0-0.wav,4,6,gun_shot,none
41372-3-0-39.wav,3,3,dog_bark,none
123688-8-1-2.wav,2,8,siren,none
157868-8-0-6.wav,8,8,siren,none
24074-1-0-2.wav,1,1,car_horn,none
117072-3-0-8.wav,3,3,dog_bark,none
24347-8-0-72.wav,4,8,siren,none
85574-3-0-2.wav,10,3,dog_bark,none
123688-8-0-9.wav,2,8,siren,none
38231-3-3-0.wav,4,3,dog_bark,none
203128-3-1-0.wav,2,3,dog_bark,none
74364-8-1-21.wav,10,8,siren,none
17486-3-0-0.wav,10,3,dog_bark,none
102871-8-0-5.wav,2,8,siren,none
159751-8-0-14.wav,4,8,siren,none
35629-3-3-0.wav,4,3,dog_bark,none
22601-8-0-38.wav,3,8,siren,none
74950-3-2-5.wav,4,3,dog_bark,none
71177-8-1-2.wav,8,8,siren,none
156869-8-0-4.wav,5,8,siren,none
197243-3-0-0.wav,5,3,dog_bark,none
106905-8-0-3.wav,1,8,siren,none
151071-6-0-0.wav,3,6,gun_shot,none
159747-8-0-12.wav,2,8,siren,none
24347-8-0-82.wav,4,8,siren,none
135544-6-1-0.wav,6,6,gun_shot,none
135528-6-8-0.wav,4,6,gun_shot,none
24074-1-0-4.wav,1,1,car_horn,none
57323-8-0-3.wav,7,8,siren,none
94636-8-0-14.wav,3,8,siren,none
199769-1-0-1.wav,3,1,car_horn,none
105289-8-1-1.wav,7,8,siren,none
95532-3-0-0.wav,6,3,dog_bark,none
157868-8-0-16.wav,8,8,siren,none
